看板,標題,作者,發文時間,內容,留言
Food,[食記] 台南仁德 上崙肉粿。,longloveyu (yu),2023-07-18 00:37:27,"餐廳名稱：上崙早餐店（上崙肉粿）
   消費時間：2022/10 (XDDD)
   地址：台南市仁德區德崙路378號
   電話：0933 276 742
   營業時間：05:30–10:30
   個人圖文blog https://linyu.tw/shanglunrouguo/

這家肉粿是當地人知名早餐店！
除了有遠道而去的觀光客，更多的是在地的左鄰右舍。

我們前往造訪後，店家有調漲／調整價格，
這裡附上我手動更新的價目表XD
但確實金額仍以店家實際公告為準。
https://linyu.tw/wp-content/uploads/2023/07/20230717235303_54.jpg

https://linyu.tw/wp-content/uploads/2023/07/20230717235409_35.jpg
店家隱身在一堆民宅中，沒有明顯招牌，十分不顯眼。
最顯眼的應該是那個路牌XＤ 南156縣道1公里處。

https://linyu.tw/wp-content/uploads/2023/07/20230717235747_26.jpg
假日連買個早餐都要排隊XD
內用外帶都要排，派一人排隊即可。
這裡除了知名的肉粿外，
還販售其他早餐品項：炒麵、涼麵、米糕、壽司、大麵包等等的。

https://linyu.tw/wp-content/uploads/2023/07/20230718000103_69.jpg
https://linyu.tw/wp-content/uploads/2023/07/20230718000311_84.jpg
白白的肉粿，一直翻面，將兩面都煎得恰恰後起鍋。

https://linyu.tw/wp-content/uploads/2023/07/20230718000356_39.jpg
淋醬油中。

https://linyu.tw/wp-content/uploads/2023/07/20230718000415_39.jpg
這是非常重口味的「早餐」
加蒜加小魚乾辣椒又加香菜，完美！
小魚乾辣椒是店家的獨門招牌，嗜辣者必加，其實辣度還好，重點是香氣十足！

肉粿煎得外皮恰恰裡頭是軟嫩的，
醬汁也會加入肉末一起淋在碗中。

整體來說是好吃的古早味早餐~

",[]
Food,[食記] 台南 斛菟-神秘茶藝小店,yabc (^^),2023-07-18 00:19:28,"   餐廳名稱：斛菟(斛須加草字，但打不出來)
   消費時間：112年7月
   地址：台南市東區青年路293巷65號2樓(近知事官邸)
   電話：linktr.ee/HUTUTHETEA
   營業時間：週三-日 11:00-18:00
   每人平均價位：250元
   可否刷卡：可
   有無包廂：無
   官網：https://www.instagram.com/hututhetea/

圖文網誌好讀版：https://yatingteacher.pixnet.net/blog/post/103005322

台南【斛菟】神秘茶藝小店，文青/偵探迷請進！

在知事官邸古蹟用餐後(食記請參考上篇)，好友想去她在網路看到的「斛菟」喝下午茶，
就在官邸附近，我們用google導航，不過明明顯示只要幾分鐘，卻愈走愈心慌，直到走進
一個超小的無尾巷。

「耶？是這裡嗎？」我們兩個面面相覷，導航已經結束，我們卻看不到任何招牌，以及相
關提示，難道我們默默進入一場「實境解謎」遊戲了？

後來我們看到一個無人的一樓門口，通往二樓的牆上，貼著小小的「斛菟」兩字，才鬆了
口氣，慢慢走向位於二樓的店家。搞笑嘛真是！第一次看到這麼不想把生意做大的可愛茶
店，而就算我們走到二樓，放在地上的招牌，字體仍然渺小得讓人發慌XD極致的文青風！

「斛菟」念法是「糊塗」(「菟」是破音字，可以念兔也可以念塗)，老闆不想清楚生活的
態度，真的充分顯現在每個細節啊！

走進「斛菟」，立刻感覺寧靜，在這棟由老公寓打通、全面打造透明窗戶的二樓，左邊是
綠草茵茵的公園，右邊是簡單的住家景觀，擺在空處的是簡樸桌椅，營造了一種泡茶聊天
的「小確幸」氛圍。

店員先親切送上兩杯小巧精緻的冷茶，不甜但很香，適合潤喉，她請我們掃QRcode看菜單
，決定好再跟她說。

「呃……你們沒有紙本menu嗎？」我驚奇地問，好歹我們已經是上了年紀的中年婦女，跟
不上年輕人的腳步，點餐習慣看紙張。

「沒有哦！」她習以為常地回答。

真幸好我會用智慧型手機，而且我有網路！呼！我邊掃描QRcode邊偷偷想，如果我年邁的
母親來這個地方，應該無法消費吧！(？)

「請問，你們平常怎麼宣傳呀？連招牌都沒有！」我們忍不住說出找不到店面的疑惑。

「我們只有放ＩＧ，主要靠客人幫忙宣傳，但生意還可以哦！」店員仍然親切說明，答案
也仍然嚇到我們兩個中年婦女，我們這種沒在用ＩＧ的人，是不是很快就要被社會淘汰了
～

………………..

「斛菟」不是平價消費的飲料店，他們是提供高級茶葉品質的茶店，所以費用不算便宜，
主要有三種消費選擇：熱茶、茶酒和冷萃茶，以及幾種簡單的輕食，我們點了熱茶(250元
)，還有冷萃茶的「花‧水」(300元)，以及一份芋頭麻糬司康(80元)。

有在賺錢的中年婦女就是任性，不再是年輕女孩有經濟負擔，現在我們吃喝重視的是質感
，大過於價格考量！話雖然這麼說，但這種任性應該一年一次就夠了，畢竟中年婦女也擁
有歐巴桑美德，省吃儉用溫良恭儉讓，才不像年輕女孩不懂理財、愛亂花錢呢！

「冷萃茶」系列雖然定價300元不便宜，卻能同時品嘗三種不同口味，以我們點的「花‧
水」為例，有蜜香白茶、黃金桂花茶以及龍眼花茶，當它們被裝在高腳酒杯裡，一口氣送
上桌，莫名散發逼人貴氣，果然很能滿足「小孩子才做選擇，我是大人通通都要」的虛榮
。(另一桌三個女生也點冷萃茶，桌上擺滿9個高腳酒杯……畫面有種難以言述的喜感XD)

冷萃茶的品質還不錯，花茶很適合不喜歡咖啡因的客人。

我們另外點的熱茶是「阿里山金萱」，店員附上裝有熱水的保溫水壺，讓我們自己親手熱
騰騰地泡茶，另外還附上小卡，提醒客人每壺茶沖泡的秒數。秒數真的很重要，我以前認
識一個高級茶藝師，跟她泡茶總是能見識最上乘精準的泡茶技術，她把計算克數、溫度和
秒數的工具隨時擺在旁邊使用，絕對不允許分毫差錯！

懂泡茶的人呀，非常珍惜每片茶葉的利用價值，把茶泡好、喝到好茶，對他們而言，是人
生的一大樂事！而我們不需要懂茶，只要懂得跟在他們旁邊喝茶，就是一大樂事！就像有
人很會烤肉，你只要跟著他，就人生足矣！

來「斛菟」喝著好喝的茶，嘗著好吃的點心，和好友開心的聊著天，一個下午也就這樣簡
單消磨，我喜歡帶點商業氣息的咖啡店，擁有鬧中取靜的大眾取向，但像這樣安安靜靜、
樸實喝茶，我也非常喜歡呢！

「欸，妳有沒有發現，來這種地方的，都是女生？」在我們喝茶之間，好友突然提出她的
觀察。

哦，對耶！現場沒有任何一位男性客人耶！

「男生啊，大部份才不會獨自、或跟男生朋友來這種地方談心！除非是陪女朋友或老婆約
會，不然他們不會想花這筆錢！」我笑了笑。

男生通常很務實，也不像女生一樣「喜歡找安靜的角落，和友人訴說自己的心聲」，他們
和朋友能夠面對面坐在路易莎，而不是在球場或和大夥兒吃飯，就已經不容易了XD

如果你也想找一個招牌不顯眼的文青茶室，與朋友或自己緩慢陪伴，台南巷子裡超級神秘
的「斛菟」推薦給你！一起來糊里糊塗一下午^^(記得先預約)

◎相關資訊：
https://www.instagram.com/hututhetea/
台南市東區青年路293巷65號2樓
週三-日 11:00-18:00

",[]
Food,[遊記] 大阪 伊丹空港美食 章魚燒與老爺爺蛋糕,Furella (Furella),2023-07-18 00:16:32,"※ [本文轉錄自 Japan_Travel 看板 #1ajMb9F0 ]

作者: Furella (Furella) 看板: Japan_Travel
標題: [遊記] 大阪-伊丹空港美食 章魚燒與老爺爺蛋糕
時間: Tue Jul 18 00:16:06 2023

圖文網誌版:

https://bitesize.tw/2023-osaka-itami-airport-food/


2023.FEB

從東京飛往大阪的班機在中午抵達，我們的目的地是京都，
算了一算去到京都會誤到午餐時間，所以決定先不出去提領行李，
在航廈裡頭吃飽了再出去，這樣一來去到京都也差不多是可以 check in 旅館的時間。

伊丹空港裡面有非常多美食，比起現在的關西空港聽說是好逛太多了！
查了查發現，有我們幾年前在大阪道頓堀吃過的 くくる Kukuru 章魚燒，
不過是在 ANA 那一側的航廈，從日航這側走過去，需要走一條隱密的道路才會到。

在日航這一側，看到了好像非常美味的稻荷壽司，買個一盒兩顆嚐嚐看味道。
直直往外走就會走到行李提領區，但如果要往 ANA 那一側，
就要往 14 號登機門的方向前進，從他旁邊有一條小徑可以通往 ANA 那一側的飲食賣場。

中間這一條較為隱密的通道，別有洞天！
是一整排可以看飛機的座位，搭飛機前買杯咖啡在這裡看飛機，好像很愜意呢！
還看到了日航國內線 J-Air 的環球影城聯名彩繪機，旁邊也看到手塚治虫紀念館的廣告。

到了賣場之後，我們直奔道頓堀 Kukuru 章魚燒，但實際買了之後卻有點失望呢！
我們幾年前在大阪吃的外脆內軟，比較符合台灣人口味，
但今天吃到的更像明石燒，整顆都軟呼呼的，味道是還可以，但口感我就不喜歡了。

倒是這稻荷壽司非常好吃耶！
調味很清爽、米飯也很有彈性又好大顆，寶寶喜愛到自己吃掉了一顆，
這天他胃口很好，連章魚燒也吃掉了三顆左右。

接著我們又走回日航這一側買 Rikuro 老爺爺起司蛋糕，澎澎的樣子看起來好誘人啊！
吃起來是很清爽的起司蛋糕，很綿細空氣感較多的，介在海綿蛋糕跟起司蛋糕之間。

來到利木津巴士的搭乘處，買了往京都車站八条口的單程車票前往京都。
指標都非常清晰，跟著走就行。
從伊丹空港前往京都，最方便的應該還是搭乘利木津巴士。
以往的班次有些會到二条口，不過疫情之後都取消，全部都只到京都車站。
到達京都車站後，我們因為行李比較大件也比較多，
就直接攔計程車往 Hyatt Place Kyoto。
結果一大一小行李箱加上一台摺疊娃娃車，還載不下後車廂，
人很好的司機先生還用束帶把後車廂拉緊，是滿有趣的光景。終於開始京都的行程啦！


",[]
Food,[食記] 台北大安 東區特製涼麵 乾淨好吃 夏天清涼必備,AlphaD (DD),2023-07-17 23:55:32,"   餐廳名稱：東區特製涼麵 乾
   消費時間：2023年/7月

106台灣台北市大安區忠孝東路四段216巷31號
7am~6:30pm(休週日)
+886227113289

圖文網誌:
http://ddd.psee.ly/52598v

最近台北天氣熱到一個大暴炸，熱的東西都吃不太下去，路過這間，其實也是來不少次了

一進店內，超強的冷還有大電扇一直吹就是爽，乾乾淨淨的環境就是爽

點了個麻醬涼麵，加了辣油，加重口味，蠻過癮的，大熱天的，真的熱的都吃不太下~

https://www.youtube.com/watch?v=-b7OcbceA10

== 照片 ==
麻醬涼麵 50元

肉醬涼麵 70元

貢丸湯 40元

",[]
Food,Fw: [食記] 福岡中洲 暖暮拉麵 博多代表性豚骨拉麵,cheauwong (cheau),2023-07-17 22:33:27,"※ [本文轉錄自 Japan_Travel 看板 #1ajL3aOI ]

作者: cheauwong (cheau) 看板: Japan_Travel
標題: [食記] 福岡中洲 暖暮拉麵 博多代表性豚骨拉麵
時間: Mon Jul 17 22:32:02 2023


店    名：暖暮拉麵 博多中洲店
地    址：福岡県福岡市博多区中洲4-7-20
營業時間：星期一至四 11:30～15:00；18:00～02:00
          星期五 11:30～15:00；18:00～05:00
          星期六 11:30～05:00
          星期日 11:30～02:00
休    日：無
推薦食物：日式溏心蛋拉麵
最低消費：一碗拉麵
造訪日期：2023/01

圖文網誌版
https://sixteen-chateau.blogspot.com/2023/07/danbonakasu.html

暖暮拉麵是許多遊客道沖繩必吃的拉麵，其實它是一家發跡於九州福岡的拉麵店，
這次就選擇距離我居住飯店非常近的博多中洲店，這是一家位在中洲風化區中心
地段的分店

當天用餐的時間已經是半夜12:30了，可是當時中洲中央通仍非常熱鬧，許多的西裝男、
牛郎、媽媽桑、遊客等都聚集在這窄窄的路上。

不過我很幸運，用餐的時候，店裡的人數不多，還有許多的空位，只是前面排了幾個韓國
遊客，不諳點餐機器的操作，在等待點餐的時候，花了一些時間。

這裡的點餐機使支援多國語言，而且裡面的翻譯都不會怪怪的，對觀光客非常友善。

如同一般的日式拉麵店，拉麵的座位區全部都是吧檯桌，共15個座位。

來到桌位時，菜單跟清水已經備好，把食券交給店員就可以慢慢等拉麵上桌。


桌上有放著菜單和各式醬料，用餐時，發現不少日本吃到一半會翻著菜單，接著到點餐機
結帳加點東西。

雖然剛剛點過餐了，還是照理看看一下菜單的內容，除了拉麵，這裡還有炒飯、餃子、明
太子飯等各種不同的碳水組合餐。

這裡的速度很快，大概等沒多久，我的日式溏心蛋拉麵就上桌了

看到拉麵時，我就覺得這拉麵看起來跟一蘭拉麵真的好像，麵中央都有一坨辣醬，只是價
格較便宜，給的叉燒也較大塊。

暖暮拉麵主打乳白色的豚骨湯頭，湯頭上面的油脂非常豐厚。雖然說是豚骨拉麵，但與其
他拉麵相比，他們家的豬騷味是稍微淡了一些，但香氣仍不減，是屬於非常順口，可以讓
人喝完的湯頭。加上大量的蔥花，更是增添了湯頭的香氣和口感。很多人說他們家的拉麵
很像一蘭，不過我太久沒吃一蘭了，所以也無法比較。

所採用的叉燒時薄切的五花肉叉燒，共有兩片，叉燒非常的軟嫩，肥肉算是蠻多的，因為
我很喜歡吃軟軟且富有豐腴脂肪的豬肉，所以這個叉燒很對我的味。

他們家的溏心蛋煮得剛剛好，滷汁的味道也有吃進去，看蛋白的顏色就知道有多入味了，
吃的時候該可以感受醬油和味霖的甜味，我很喜歡。

福岡的拉麵都是細麵，喜歡偏硬口感的我，特別要求要硬一點的麵條，細麵的掛湯能力也
很強，每一口都可以感受豚骨湯頭的香味，不過我個人對於細麵沒有太多的喜好，所以對
於他們的麵條沒有太多的感想。

吃到一半覺得有點膩口或是想轉換口味，可以搭配他們的醃高菜和蒜泥，撒一點上去，湯
頭的味道又變得不一樣了，帶了一些醃製物的酸味，反而讓人更開胃。

暖暮的拉麵份量不大，不到十分鐘就嗑完了，湯頭也喝下不少，因為個人是比較偏好更為
清爽的醬油、雞白或鹽味系拉麵，若是豚骨，我個人會更愛濃厚系的湯頭，這種偏清淡的
豚骨拉麵反而不是我的愛，但不能否認它仍是一碗表現非常好的拉麵，在冷冷的冬天吃下
這一碗是非常暖胃。

",[]
Food,[食記] 渲咖啡 遠眺外澳沙灘的無敵海景咖啡廳,kiki1990 (琪樂無窮美食生活),2023-07-17 22:26:15,"【宜蘭頭城】渲咖啡Shine Cafe
網美海景咖啡廳 在希臘風建築中遠眺龜山島、外澳沙灘飛行傘



♬ 詳細圖文好讀版本 ♬ 請點這裡 ⇨ https://kikifunlife.com/shine-cafe/


⇩　簡短版本請看下面　⇩


渲咖啡位於宜蘭頭城外澳海灘的海堤景觀步道。

地中海風的白色與藍色建築外觀非常顯眼，讓人彷彿來到希臘海岸。

三樓有一個很有海島度假風格的大沙發，空間很寬敞。

玻璃圍欄的設計讓視線零死角，景觀超棒的。

可以遠眺龜山島，還可以看到外澳沙灘上的衝浪客跟飛行傘！

　

■ 橙香酥炸海魚飯 $330

這道酥炸海魚飯，在炎熱的夏天裡可以說是非常清爽。

橙香醬汁酸酸甜甜的，吃起來格外開胃。

無刺魚肉塊包裹了金黃酥脆的外皮，魚肉完全沒有腥味、非常香嫩。
　

■ 紐奧良烤雞翅 $250

經過恰到好處的烘烤，雞皮呈現非常美味褐色光澤。

雞翅醃漬的非常入味！雞肉很軟嫩，搭上起司粉真的很香。

　
■ 鹽烤松阪豬 $380

這道鹽烤松阪豬真的要推爆！非常焦香好吃。

松阪豬的油花超級香，而且肉質好脆也好嫩～

　

■ 濃情焦糖布丁 $150

外觀或口味都非常出色，完全是法式甜點店的專業水準！

布丁上裝飾了手工拉糖跟酸甜的乾燥草莓丁，

放在高腳杯裡，宛若一件賞心悅目的藝術品。

布丁的質地非常滑嫩綿密。每一口都能感受到牛奶與雞蛋的濃郁香氣，

再配上香甜中帶著微苦的焦糖醬，吃下去真的超幸福。

　


☑餐廳名稱：渲咖啡Shine Cafe
☑消費時間：2023/06/22
☑地址：宜蘭縣城鎮濱海路二段72號
☑電話：0925 087427
☑營業時間：
【週一、四】11:00-18:00
【週五、六、四】08:30-18:00
【公休日】每週二
☑每人平均價位：$400~$500
☑可否刷卡：不可，只收現金
☑是否有包廂：三樓有
☑停車資訊：可以停九號咖啡外澳館的付費停車場
（宜蘭縣頭城鎮濱海路二段6號）
☑推薦菜色：
橙香酥炸海魚飯 $330
紐奧良烤雞翅 $250
鹽烤松阪豬 $380
濃情焦糖布丁 $150


",[]
Food,[食記] 台北文山景美夜市 好吃塩水雞,TW00500203 (Ming),2023-07-17 22:02:04,"【好吃塩水雞】
電話：0916 895 952
地址：台北市文山區景文街133號
營業時間：15:00–00:00
用餐時間：2023年04月
每人平均價位：80~150
服務費：無
",[]
Food,[食記] 桃園 桃機一航環亞貴賓室,Jun0713 (jun),2023-07-17 21:58:28,"   餐廳名稱：桃機一航環亞貴賓室

   消費時間：2023年/7月

圖文版請點下方部落格連結，謝謝

https://reurl.cc/VLeb5y


這次與老婆要出發去東京，搭乘的是老婆用亞洲萬里通的里程換的國泰航空商務艙，但是
因為國泰航空的貴賓室正好在整修中

所以這次我們就使用了「環亞貴賓室」，這邊通常是給在台灣沒有設立貴賓室的航空公司
，或是一些信用卡的高卡客戶共用的貴賓室

裡面座位蠻多的，大約有4-50個，有個小商務客喜歡的小空間，有閱讀燈跟插座

也有人多時可以一起坐的長桌區

後面還有一些沙發區，沙發區也是有插座的喔

這裡有可以單點的早餐，決定想要吃的直接跟工作人員點就可以了

有一些配菜可以配白粥，有高麗菜、牛蒡絲、毛豆、海帶絲、黑豆、豆棗、脆瓜還有麵筋

還有一些熟食區，從左至右分別是炒花椰菜、素肉丸、德式小香腸、里肌肉、螺旋麵以及
蘿蔔糕

其中素肉丸我跟老婆都不行，香腸跟里肌肉中規中矩、螺旋麵還不錯，蘿蔔糕普通（我比
較喜歡口味重的港式蘿蔔糕）

地瓜球跟薯條，還不錯

紅、白酒，以貴賓室來說，這裡的酒類提供算是比較少的，不過因為這裡是共用的貴賓室
，這樣也是正常的

一些飲料，旁邊的木櫃子裡面有兩種麵包，旁邊有烤麵包機可以用

咖啡機與烤麵包機
還有一些茶包

因為等等還有機上餐，所以就簡單點一碗滷肉飯跟排骨湯，滷肉飯是肉比較多膠質比較少
的那種，但調味還不錯蠻好吃的，但是不知道是不是店員弄錯還是我還沒清醒，我吃起來
不像排骨像肉羹，哈哈！

整體來說口味還不錯，但是選項就沒有航空公司自己的貴賓室豐富了，回程坐日航的，再
看看有什麼不同，再寫一篇跟大家分享，謝謝



",[]
Food,[食記] 台北 老罈香川味兒~怎麼跟以前味道不同？,thudadai (三高sir),2023-07-17 21:21:08,"
   餐廳名稱：老罈香川味兒
   消費時間：2023年/6月
   地址：台北市中山區長安東路一段63號
   營業時間：1200-1400 1730-2200

圖文：https://thudadai.pixnet.net/blog/post/70757044


照片記錄：人均1.4k。

搬家後首訪~~刷了17道，整體調味的感覺與印象中好像有點不同？
可能店變大了，內場需求也增加，只好期待之後穩定度提升，
預訂的菜有龍蝦腦花麻婆豆腐、木桶酸菜魚、泡椒牛蛙、諸葛烤魚等，
龍蝦麻婆豆腐和酸菜魚不錯。


(椒燒擂皮蛋)
(牙籤小羔羊)
(干鍋花椰菜，偏濕)
(金沙玉米，不錯吃，我在家用罐頭甜玉米試做過，沾粉、炸的油溫、炒鹹蛋黃..等步驟
一沒拿捏好，整個外型口感就容易跑掉)
(枸杞水蓮，酒味很強)
(樂山甜皮鴨)
(龍蝦腦花麻婆豆腐)
(木桶酸菜魚)
(泡椒牛蛙，夠酸~但感覺可以多一點辣味)
(壓鍋粉蒸肉)
(諸葛烤魚，當天有別桌被魚刺哽到喉嚨，會不會也是吃這道阿？)
(蓉城口水雞)
(神仙排骨，味道有點輕)
(生爆鹽煎肉，明顯和之前來時味道不同)
(嗆鍋手撕包菜)
(老皮嫩肉)
(紅糖慈粑，沒酥..)
(招待四川冰粉)

",[]
Food,[食記] 基隆 喫茶開門 正濱漁港 日式復古喫茶店,yucon (攝影‧旅行‧拈花惹草),2023-07-17 20:19:36,"餐廳名稱：喫茶開門
消費時間：2023年/7月
地址：基隆市中正區中正路393巷38號
營業時間：11:30~19:30 不定休

blog圖文版：https://morrisyu.com/archives/7332

喫茶開門，在正濱漁港附近的一家咖啡店，在舊漁會正濱大樓附近的巷子內，店主人租下
這棟房舍進行改造，營造出日式復古喫茶店風格。

店內的空間小小一個，兩張三人桌還有吧台座位，共13席的位置，裝潢上相當有味道，特
別喜歡裝潢上的油漆，是一層一層慢慢塗上的，相當費工。店主人負責沖煮咖啡，主人的
母親負責接待客人，在咖啡店中算是有點特別的組合。

喫茶開門是採用法蘭絨出杯，在台灣算是比較少見的手法，出杯的時間會比較長一些。

menu，咖啡的部分以手沖為主，非咖啡因有蘇打汽水及茶類，鹹食有義大利麵跟佛卡夏，
還有甜點及布丁，內用低消一杯飲品。

巴西 南米納斯，極深焙，本來要點琥珀配方豆，可惜賣完了，不得不說近幾年在台灣喝
到深焙的豆子，自己都相當喜歡，初入口的核桃風味，沒有苦澀味反而是相當的順口。

冰淇淋熱帶水果蘇打，喫茶開門選用的杯子都有動物圖案。

拿坡里義大利麵，麵條上灑滿了起司粉，非常的香，Q彈稍微偏硬的口感吸滿了湯汁，還
有滿滿的切片香腸，吃完一盤讓人滿足。

百香果 芒果蛋糕，這兩樣都是夏季很棒的水果，百香果的酸及芒果的甜兩者融合在一起
，沒想到是個不錯的組合，又酸又甜的口感，蛋糕體軟綿好吃，真的是夏季的甜點好選擇
。



",[]
