看板,標題,作者,發文時間,內容,留言
Food,[食記] 高雄 小小麥 大推人氣麻奶明太子烏龍拌麵,fish1234557 (費雪),2023-07-10 13:51:25,"   餐廳名稱：小小麥中山店
   消費時間：2023年/04月
   地址：高雄市苓雅區中山二路313號
   電話：07-3381410
   營業時間：11:30~14:30。17:00~21:00

圖文好讀版
https://lealea0614.pixnet.net/blog/post/356328448

吃過幾家明太子烏龍麵都很喜歡

最近這家小小麥好多人推薦

而且有麻奶口味的!!!!!!

小小麥在北中南都有分店

我PO在IG動態的時候

北部朋友說他也很喜歡台北分店的也很推薦

這家高雄中山店的GOOGLE地點名稱後面還特地括號

（沒有訂位，沒有訂位，沒有訂位）

跟朋友約個時間就前往啦

平日的晚餐也是蠻多人在等的

跟店家登記之後

我們應該至少也有等半小時有

哈不過還好我們就在外面邊等邊聊天


菜單

(擷取至小小麥高雄中山FB粉絲團)

才隔兩個月而已好多東西就調漲啦

PO的價位都以新菜單為主啦


麻奶明太子鮮貝烏龍拌麵$159

溫泉蛋$30

價位有點高

但口味真的很不錯

份量也還可以

主要是還有干貝啦

畢竟干貝也不是便宜的東西

我自己很喜歡麻奶的調味耶

本身我愛吃辣我就蠻愛的

整體白醬醬料蠻濃郁的帶有一點麻辣

奶香加上明太子

多了一點層次感

雖然很多人都說吃到後面很膩

我自己是還好因為我還點了一些炸物

所以也沒整份吃完

女生來說一盤這樣蠻有飽足感的


明太子鮮貝烏龍拌麵$139

朋友那天不想吃辣就點這個

我先吃我的在吃她的

就覺得她的有點無聊

味道比較沒那麼突出

相較之下還是麻奶重口味一點


廣島炸牡蠣$129

本來覺得有點貴一直猶豫要不要點

上桌吃了之後

我覺得有值這個價位耶

日式炸物的麵衣酥脆又不厚

牡蠣處理的也很好沒有腥味

我覺得不輸百貨餐廳耶


招牌唐揚雞$129

雞翅跟唐揚雞我們猶豫很久

因為都有人推薦

後來我們覽的啃骨頭就選了唐揚雞

外脆內軟雞肉很嫩也沒有讓我們失望


日式可樂餅$89

裡面的馬鈴薯泥非常深得我心

再加上他們家表現優秀的日式炸麵衣

搭配得非常完美

我們都很喜歡他們家的炸物耶


小菜每盤$39

黃金泡菜沒有太特別但是是好吃的

章魚腳CP就蠻高的


廚房是在店內的

多少有點油煙味

雞白湯跟水免費提供自取

雞湯味道比較淡一點沒有很鹹好像還有一點柴魚香?

下次會想再吃看看其他炸物類


店內店外裝潢都很日式


如果不用排很久的話

我還是會想再來吃耶

入座之後其實上菜蠻快的

可能要挑對時間再來

",[]
Food,[食記] 日本東京-牛舌也很粉嫩-利久牛舌澀谷店,Guyinkt (love that),2023-07-10 14:33:11,"   消費時間：2023年/05月

進一家店點招牌牛舌還有不同價位？
不吃牛的就跟這家店絕緣了嗎？

利久牛舌提供有厚度的牛舌
還提供了不同調味以及價位
這次一口氣都點來讓大家做參考了喔！

超直白圖文網誌版
https://takeabreak0512.pixnet.net/blog/post/222040657

以下為文字摘錄版(推文會有部份圖片）


萬眾期待的牛舌就上桌啦

不同價位的差別就在於厚度


先來看一般的如何吧!

一般的我們點了兩種口味

一個是一般的，另一個是味噌口味



從外觀上其實沒太多的分別

就只是味噌的調味會重一點，也會帶點甜味

不過光厚度來說就是可以讓人吃得很開心

利久牛舌又是有彈性而不是會過硬讓人不好咬

配上旁邊的蔬菜以及醬菜飽足感蠻夠的

在點餐時也可以選擇飯量(不可免費續)



厚切的厚度上就真的有差

整個感覺也會更加的柔嫩

如果喜歡半生熟口感的一定要試試看

整體上來說是更高級一點的享受



旁邊也有其他的調味料可以自己添加

不過個人覺得原味就很不錯

想要多點刺激加點七味粉很提味

最後則會上這樣的抹茶紅豆麻糬當甜點作結



要下結論了喔!

利久牛舌的牛舌有厚度卻不會難咬

可以兼顧彈性以及柔軟非常特別

加上小菜等雖然不會說是非常豐盛的一餐

但是逛累了來休息一下稍微款待自己剛剛好

可以線上事先訂位更適合旅人



店家基本資料=>

地址 :  渋谷ヒカリエ6F

電話 :  +81 3-3486-2351

營業時間 : 11:00~23:00(每天)



","[' https://i.imgur.com/YT36KIO.jpg', ' https://i.imgur.com/xlfoOqG.jpg', ' https://i.imgur.com/VdyrWc8.jpg']"
Food,[食記] 台北永春市場 萬芳麵館,guessworld (奶油不飛),2023-07-10 17:43:11,"


圖文網誌版請點：https://pse.is/53keuj



店名：萬芳麵館
電話：02 2503 8918
地址：台北市中山區長春路299號5號攤位
營業時間：6:00～15:00 (週一公休)
用餐日期：Mar 26, 2023

上次要跟朋友去宜蘭參加婚禮，出發前先來吃早餐，我們都喜歡麵店跟小菜，
朋友就找到這間離我一小段距離的萬芳麵館。

一大早生意好好，攤子裡的選擇也很多，邊排隊邊覺得目不暇給。
燙豆芽。
清清爽爽，不過麵裡面已經很多豆芽韭菜，沒特別愛豆芽的話就不需點了。

陽春麵，$45。
乾麵真的就是單純又古早味，麵條軟硬度剛好，搭配肉燥醬料整個拌起來很香。

蔭苦瓜，甘甜甘甜的。
上錯的油豆腐，決定將錯就錯，發現很多人都有點這道，豆腐軟嫩。

早上能吃到紅燒肉真的是我的夢想，炸得酥脆的五花肉，罪惡又美妙。

嘴邊肉湯，$50。
嘴邊肉也太鮮美了，湯頭是有點麻油的我不太愛，但這肉太可以了。

肉羹湯，$45。
吃了一大桌，兩個人根本吃不完。



",['長春市場啦']
Food,[食記] 新竹 炊牛大叔飯飽包 ～炊牛王牛肉麵2店,pure816 (玫玫),2023-07-10 18:03:03,"
[新竹‧金山街] 炊牛大叔飯飽包 ～炊牛王牛肉麵的第二品牌

網誌圖文好讀完整版：https://pure816.pixnet.net/blog/post/48932936

============================================================================

   餐廳名稱：炊牛大叔飯飽包
   消費時間：2023年/5月
   地址：新竹市金山七街43號
   電話：03-5678901
   營業時間：10:30～20:45

　　特殊聲明：文章PO在PTT上，不代表同意任人轉貼，
　　　　　　　若僅轉貼連結，歡迎！
　　　　　　　不歡迎全篇轉貼，卻完全不打招呼。

============================================================================

　　金山街的炊牛大叔飯飽包是由台北牛肉麵節獲獎多次的炊牛王牛肉麵，
回新竹三年後再開的第二品牌。

　　有關炊牛的牛肉麵店及飯飽包的過往，從兩個粉絲專頁，是沒看到自述。
　　炊牛王牛肉麵專賣店在Google Map也沒看到「一碗得獎牛肉麵」的由來。
　　要到炊牛大叔飯飽包的Google Map才看得到店家編輯的內容。

　　曾經在台北開業獲獎的炊牛王牛肉麵，是2019年回新竹開在新莊街。
　　看新竹炊牛王牛肉麵粉絲專頁，一開店時只賣各式牛肉麵。
　　後來很快地就加賣起牛肉飯（後來所有牛肉麵都可改泡飯）。

　　而炊牛大叔飯飽包（2022），顧名思義，應是主打「飯」。
　　但留在粉絲專頁上的是賣菜單，卻還是各式牛肉湯麵，。
　　在的Google Map有看到近期菜單，還是以各式牛肉湯麵／乾麵為大宗。
　　不過有各式牛肉飯，還有炊牛王牛肉麵店沒有的豬肉燥子飯。
　　另有推小碗紅燒牛肉飯或豬肉燥子飯，配湯＋小菜的套餐。

　　店內產品完全沒吃過，就直接點套餐，試試口味囉！

　　內用的話，酸菜、蔥、醬料、兩款飲品，皆可自取。
　　　　　　　　　　　　（香辣醬、豆瓣辣醬都不賴。）
　　外帶若忘了自已包，就都沒附。
　　內用空間還不賴，有空的話，推薦內用吹冷氣吃熱食喝涼水。

　　套餐Ａ、Ｂ（170／200）藥膳排骨餐。
　　都是藥膳排骨湯＋40元以下小菜或燙青菜任挑一。
　　差別在飯，Ａ是搭豬肉燥子飯（小）、Ｂ搭紅燒牛肉飯（小）。

　　另外嘟嘟好與飯飽包套餐（99／139），則是與套餐Ａ、Ｂ差在湯。
　　湯改為50元以下湯品三選一。

　　只是文字版菜單無嘟嘟好與飯飽包套餐。
　　另有川味酸辣湯超值套餐（120），是酸辣湯＋小燥子飯＋小菜或燙青菜。
　　圖文版菜單，套餐Ａ、Ｂ沒寫小菜可挑燙青菜（文字版有）。
　　嘟嘟好套餐，湯可選其他，訂價還更便宜，就不知可否挑燙青菜。

　　內用，湯碗與飯碗一樣大，不過湯裝滿、飯約一半。
　　這碗藥膳排骨（120），湯還蠻清甜的，骨頭有帶些肉，挺不賴的。
　　單喝或者外帶回去加麵吃，應該都不錯。

　　小紅燒牛肉飯（80），就紅燒牛肉塊配滷蘿蔔丁。
　　雖說牛肉量不會太少，紅燒牛肉吃來調味口感也不錯，但總覺得若單點來吃
有點空虛。

　　還好搭著口感清脆不老的龍鬚菜的燙青菜（40）來吃。
　　　　　　　（菜單上可選龍鬚菜、空心菜、大陸妹、高麗菜。）

　　點套餐Ｂ，等於小菜或燙青菜是送的。
　　內用還可以搭著飲料喝（雖說味道很普通），這樣200元，還不錯。

　　另外外帶過嘟嘟好套餐。
　　選川味酸辣湯（50），的確有比一般酸辣湯辣些，更重口味些。
　　搭肥肉比例少的豬肉燥子飯（40），還不錯。
　　只是更想搭白飯或麵條或水餃來吃。（外帶，這些都可以， ;) 。）
　　小菜選了涼拌小黃瓜（40），蒜辣口味不錯，就是量顯少。
　　若有再過去，應該會問可不可以搭燙青菜。

　　套餐較優惠，就還沒試試其他主食囉！
　　只是可惜沒有牛肉麵或其他牛肉飯套餐，:p。



",[]
Food,[食記] 高雄 NARA Thai 米其林推薦的泰式料理,fish1234557 (費雪),2023-07-10 18:08:26,"   餐廳名稱：NARA Thai Cuisine 泰式料理 高雄SOGO店
   消費時間：2023年/03月
   地址：高雄市苓前鎮區三多三路217號B1
   電話：07-3356168
   營業時間：11:00~21:30。五六11:00~22:00

圖文好讀版
https://lealea0614.pixnet.net/blog/post/356335564


跟朋友來吃過一次就覺得不錯

家人生日就帶著來二訪啦

不然每次泰式都吃瓦城也是有點膩

NARA開來高雄也讓我們有多了其他選擇

而且還是米其林推薦的!!

菜單大家可以參考官網的唷!


綠咖哩雞肉$340

不知道是不是加了椰奶的關係

奶香味重一點

有點甜又加上一點微辣

咖哩醬濃郁很下飯

雞肉份量也算有誠意


蝦醬高麗菜$220

蝦醬味道沒有太濃

但是高麗菜炒得很不錯

微脆爽口


泰式河粉$260

我覺得這盤料很豐盛耶

有蛋酥還有豆干以及蝦子

吃起來口感很豐富

我自己蠻喜歡的



豬肉沙嗲$280

豬肉處理得非常好

嫩度夠又不柴

沙嗲口味又帶有一點椰香



金錢蝦餅$385

蝦味滿滿

外皮炸得很酥又不油

我覺得裡面有點像蝦滑

又更真材實料一些

搭配的醬酸酸甜甜的



酥炸桑葉$240

因為pony說吃過之後非常驚豔

我這次特別點來吃看看

真的是蠻好吃的

但我弟就很瞧不起不願意嘗試

桑葉處理得很好跟麵衣完美搭配

再沾上特調醬汁

我自己也很喜歡


羅勒辣椒炒牛肉$330

牛肉炒得蠻嫩的蠻剛好的

沒有過老

但我覺得沒有到很辣啦


檸檬魚$495

這道的尾勁就真的有一點辣了

但是辣的有爽度又帶有一點酸

魚也很新鮮


鮮蝦冬粉煲$495

冬粉吸飽湯汁還不錯

但我本身覺得剝蝦很麻煩哈哈

要不是弟弟堅持要點

我自己覺得CP有點不高


泰式奶茶$130

椰子汁$120

泰奶好喝但如果不是套餐附的我應該是不會單點


泰奶仙草沙沙$140

味道跟他們泰奶感覺是一樣的耶

加上仙草根椰子冰淇淋而已

好吃但沒有那麼有特色


摩摩喳喳$140

我不得不說我心中第一的摩摩喳喳

目前還是瓦城

哈NARA的沒有不好吃但也沒有特別好吃


整體吃下來如果NARA跟瓦城比

我會選NARA耶

菜的口味我比較喜歡

而且季節不一樣也會有限定菜色

去兩次吃完結帳都覺得好像比瓦城便宜一點

雖然還是不便宜啦

",[]
Food,[食記] 台北市士林區陽明山上-松竹園,fatlee (fatlee),2023-07-10 19:01:47,"

   餐廳名稱：松竹園
   消費時間：2023年/7月
   地址：台北市士林區永公路546號
   電話：02 2861 6261
   營業時間：11:30–16:00, 17:00–20:30

圖文網誌版: https://twpang.com.tw/blog/post/shochikugarden_yangmin


",[]
Food,[請益] 三間港式推薦,dddgooglebbb (google大神),2023-07-10 21:07:56,"父親節即將到來

家父愛好港式餐點以及烤鴨

目前有三間選擇

台北喜來登大飯店 辰園

龍都酒樓 總店(中山)

圓山大飯店 金龍餐廳


人數五大一小 總預算約一萬上下


因網路評價好壞參半，來板上請求推薦

感謝各位

","['這三間的話辰園', '這三間的話辰園。其實晶華軒也可以看看（一鴨二吃，再', '點一些菜跟點心，應該有機會壓在預算內）', '辰園推鵝', '龍都算了吧，跟菜市場一樣吵，辰園，推烤鵝', '看你需求  如果請客的話圓山環境其實不錯  CP值就差了點', '龍都純吃飯可以  環境就..嗯..很傳統?', '晶華軒的港點樣式算少，但貴在精不在多~~~~', '圓山飯店官網現在有線上旅展，可以省不少錢', '福華飯店？也不錯喔']"
Food,[食記] 日本鎌倉站旁外帶手沖吧ignis Kamakura,albee10 (albee),2023-07-10 21:09:11,"   餐廳名稱：ignis Kamakura
   消費時間：2023/06
   地址：〒248-0006 神奈川県鎌倉市小町１丁目５  21
   營業時間：11:00-18:00
   每人平均價位：日幣1500


完整圖文版：https://zebrapen11.pixnet.net/blog/post/364985803



意外在鎌倉路邊獲得的手沖咖啡吧 Ignis

第一眼先被老闆捕獲，看到那個笑容原地融化


來自不同產區不同烘焙方法的手沖單品

挑選了酸感的豆子，雙重厭氧處理讓風味更有層次

Colombia/El Paraiso Red Plum ꔱ500

研磨後豆香慢慢飄散出來

隨著水柱的注入彷彿時間停止只剩咖啡的香氣

沖完後直接放置冷凍冰鎮


入口極其滑順，果子的酸讓人舒適像在喝果汁

回甘的尾韻不苦澀也不會殘留在舌上


用簡單的英文和老闆交流，默默的一小時就過去了

到鎌倉絕對不要錯過Ignis呀！




",[]
Food,[食記] 泰國曼谷洽圖洽 maachanang(繽紛泰式甜點,TW00500203 (Ming),2023-07-10 21:14:19,"電話：+66 86 407 1841
地址：3-226 45/1 號攤 Chatuchak, Bangkok 10900泰國
營業時間：10:30–18:30(平日一~五公休)
用餐時間：2023年05月
每人平均價位：THB 60~100
服務費：無
",[]
Food,[食記] 高雄鳳山 奇奇蚵仔煎(平等分棧)(鍋燒意麵,TW00500203 (Ming),2023-07-10 21:17:12,"【奇奇蚵仔煎（平等分棧）】
電話：07 790 5029
地址：高雄市鳳山區復華街78號
營業時間：11:00–15:00, 16:00–21:00(假日中午不休息，週四公休)
用餐時間：2023年02月
每人平均價位：100~150
服務費：無
",[]
