看板,標題,作者,發文時間,內容,留言
Gossiping,Re: [問卦] 公務員都是一流人才有比較好？,Holmes7 (El Mundo),Mon Jul 10 15:32:34 2023,"※ 引述《seiya2000 (風見)》之銘言：
: 聽說日本公務員大多是東大畢業的，
: 東大畢業算一流人才了吧，
: 可是日本怎麼還會出現失落的30年呢？
: 有沒有卦

基層公務人員素質好沒用
縣市政府、中央單位高官
議員立委全是智障有什麼用？

人家當初孫運璿都知道
邀請張忠謀回來當工研院院長
結果你看之前衛福部部長是什麼咖小？

我考績每年拿甲升不上去
還輸給加入塔綠班月領九萬的

可憐吶
","['什麼咖小？不是都說我負責了 牟利洗咩安', '怎？', '早說 你為什麼不早說', '打不贏怎麼不加入領九萬', '沒有差啦 進入公部門後就可以消極抵抗', '了']"
Gossiping,[問卦] 急！簽證到期回國前該做啥才好！,tth9955 (EvilHeart),Mon Jul 10 15:33:39 2023,"
如標題

小妹的簽證快到期了

馬上就要被趕回台灣了嗚嗚

該如何把握剩下的時光才好

有過來人給經驗嗎

八卦？
※ 八卦板務請到 GossipPicket 檢舉板實名詢問
※ a.張貼問卦請注意，充實文章內容、是否有專板，本板並非萬能問板。
※ b.一天只能張貼 ""三則"" 問卦，自刪及被刪也算三篇之內，
※   超貼者將被水桶，請注意!
※ c.本看板嚴格禁止政治問卦，發文問卦前請先仔細閱讀相關板規。
※ d.未滿30繁體中文字水桶1個月
※   未滿20繁體中文字水桶2個月
※   未滿10繁體中文字水桶3個月，嚴重者以鬧板論，請注意！
※ (↑看完提醒請刪除ctrl + y)
","['牛郎店啊', '表演肛門榨甘蔗給日本人看']"
Gossiping,[問卦] 外交部領事館怎麼這麼多人,chopinmozart (aha),Mon Jul 10 15:33:41 2023,"如題

來臨櫃換個護照

外交部領事館裡面人山人海

從二樓擠到一樓

明明是普通上班日

哪來這麼多不用上班的人在這裡辦護照

台灣經濟是不是過熱？

要經濟泡沫化了？

","['沒人也罵？人多也罵？科科', '那邊一直都是這麼多人', '不就暑假', '所以從2月底到現在都爆滿人啊？', '暑假餒 叫甚麼', '一直都爆滿吧', '幹你娘護照到底辦完沒 我也要辦', '因為柯文哲要上台了', '暑假到了']"
Gossiping,[問卦] 台男怎麼突然流行留長髮啊,mjj90138 (蔡包),Mon Jul 10 15:35:01 2023,"
大家好 我是體脂肪32%的社畜肥魯啦

阿肥最近在捷運上或是路上看到不少男生留長髮

或是半長不短 綁一個小辮子

真的有夠擊敗醜欸 像阿肥都平頭 帥哥才能留平頭

如題 有沒有丿ｌ圭卜 ？

","['因為聽團仔女生看到就排卵了', '圖呢', '三井壽', '懶得剪', '看臉', '屁股養', '找不到頭髮剪到飽啊', '還有活網女帶起的風潮', '留過一次就完全不會想留了 超麻煩', '太熱了 不留長了', '台灣這麼濕熱,佩服了', '老鐵覺得人家醜 人家可能覺得你更醜 臺', '男互輕 自我感覺良好的 路上隨便抓都一', '大把 有很意外嗎？', '醜死了', '禿頭才剪平頭吧', '髮髻頭的很多', '沒禮貌… 女的', '比剃兩邊好看多了', '其實也就是文藝復興啦 金城武鄭伊健', '的時代長髮還是挺流行的', '超噁超油', '你們會欣賞唐鳳的長髮嘛? 別口是心非了', '雖然說臉重要性起碼一半以上', '但是現在剃兩邊整個就是台男標配', '超級沒特色 多一點變化不是壞事', '剃兩邊就算了 還有只留頭頂的怪頭', '一堆打扮的像北斗神拳的雜魚', '日本現在也一堆左右後推光的2', '我就是旁邊一分上面15分', '偶爾參考看看主角的造型都怎樣吧', '看到幾隻貓就在喊流行 = =""']"
Gossiping,[問卦] 白飯事件才是真的要掩蓋什麼吧！,JHGF2468A (Joker),Mon Jul 10 15:36:45 2023,"如題
一個無聊的吃白飯白飯事件
可以吵到幾百篇文章
（加我這篇）
這才是真正的要掩蓋什麼事情吧

有沒有卦
",[]
Gossiping,Re: [新聞] 軍公教員工調薪追不上物價，特予澄清,meduuu (meduuu),Mon Jul 10 15:36:49 2023,"※ 引述《kodakala ()》之銘言：
: 軍公教員工調薪追不上物價，特予澄清
: 行政院人事總處新聞稿
: 關於媒體報導軍公教員工調薪追不上物價、實質所得縮水，非屬實情，特予澄清。
: 依行政院主計總處資料，消費者物價指數106年至111年累計成長約6.73%，倘
: 加計112年預測值2.26%約為9%，

  物價上漲要回推年增率比較才準,不是用6.73+2.26=>9%這種加法計算
=>106->111年 年增率是1.31%
  106->112年 年增率是1.47%

又全國軍公教員工待遇分別於107及111年度通案調整3%及4%，將再於113年度調整4%，三次調整累計調幅11.4%，並無報導所稱軍公教員工調薪追不上物價、實
: 質所得縮水之情形。
: 相較98年至105年間消費者物價指數累計成長7.62%而言，軍公教員工待遇僅於100年調整3
: %。
  106->112年 (107:+3%,111年:+4%) 年增率是1.22%
  106->113年 (107:+3%,111年:+4%,113年:+4%) 年增率1.31%
  調薪的確是趕不上每年物價上漲...

: 來源：https://www.dgpa.gov.tw/information?uid=82&pid=11427
: 軍公教不要再吵要一直調薪了好嗎，國家對你們夠好了！

",[]
Gossiping,Re: [問卦] 白飯事件 台灣人到底奴性有多重啊？,maxablue (鼠兒果),Mon Jul 10 15:37:12 2023,"前文恕刪
我覺得這個例子有點偷換概念
這間餐廳是收一定的金額那三樣東西無限量供應
並不是來店消費這三樣就無限吃

收了客人6 7鎂當然在無法供應時要退費或者折扣
但這樣子的做法一定比這個熱炒店來得好，因為很簡單就可以避免紛爭
用副餐飲料小菜無限這種噱頭去招客本來就該有會被狂吃的心理準備

如果可以的話盡量舉個相同的例子，比如很久以前麥當勞飲料也是免費續杯被續到
受不了後才取消的，但至少我現在找不到當時有沒有人把飲料喝到續不上的狀況
可能他們早就預判到這種狀況所以備貨都有提前做好?

對於這個老闆的行為我是覺得蠻不齒的，對方是依照你的規定來用餐
他們可能就是因為衝著省錢才會來，就算點的少你也是收了人家六千多，給你一星
你可能會很不爽，但是在評論區罵人還找記者大肆報導這種行為真的不是很認可
，就算學生有可議之處也不該是你這個大人兼經營者該有的氣度和行為

而學生也好不到哪裡去，去熱炒店白飯吃不夠就給一星，至少有吃到一碗了吧?
評論裡面也沒有說料理好不好吃、店家環境衛不衛生或是服務態度好不好，唯一
跟白飯沒關係的只有說菜太貴太少，就因為白飯不夠吃而給一星，就算撇開老闆
不談對那些服務你們的店員和炒菜的廚師們也很失禮吧
如果真心覺得白飯不能吃到兩碗這間店就一文不值的話那我沒話說啦

總結而言我個人還是覺得老闆面對學生還是要拿出一點成年人的氣度，你可以酸、
可以理直氣壯反駁，畢竟這種事就是雙方都覺得自己有理
學生留言口氣很差、評分亂打也該好好跟人家溝通，不能溝通就算了，反正你店
真的好也不會差那幾個負評不是嗎?

",[]
Gossiping,[新聞] 廣東幼稚園傳砍人已6死1傷 門口「2大1,waymayday (不要問),Mon Jul 10 15:37:47 2023,"廣東幼稚園傳砍人已6死1傷　門口「2大1小」倒在血泊中

ettoday

蔡紹堅

https://www.ettoday.net/news/20230710/2536918.htm



廣東省廉江市一間幼稚園10日上午傳出砍人事件，傳出多名大人、幼童被砍傷後倒在地上。
當地警方稍早發出通報，稱廉江市的橫山鎮發生故意傷害案，已導致6人死亡、1人受傷，嫌
疑人25歲的吳姓男子已被抓獲。

從目擊者拍攝的影片中可以發現，幼稚園的門口躺著一名小孩及兩名大人，身上、地上都有
鮮血，同時旁邊一團混亂，許多家長騎著車緊急將孩子載回家。

另外一段影片則顯示，多名警員制伏了一名疑似嫌疑人的男子，要將男子押上警車。

廉江市公安局10點發出通報，稱10日上午7時40分，橫山鎮發生一起故意傷害案，致6人死亡
、1人受傷，「8時左右，嫌疑人吳某傑（男，25歲）已被抓獲歸案，案件正加緊偵辦中。」


",[]
Gossiping,[問卦] 有沒有無間道預言成功的卦?,pttOwO (pttbot),Mon Jul 10 15:38:37 2023,"https://imgur.com/tMSuQFh.jpg
https://imgur.com/KYsJ0xN.jpg
https://imgur.com/Po1d56j.jpg
https://imgur.com/q8YKr5C.jpg
https://imgur.com/CkfciQM.jpg
https://imgur.com/ErlbGwl.jpg
https://imgur.com/z3jEdso.jpg

無間道2已經是二十年前的片了

沒想到二十年後還會有同樣的情況發生

現實是不是比電影更離奇?

https://imgur.com/GtekeCx.jpg
https://imgur.com/5qG2XoP.jpg
警察會跟黃sir有同樣想法嗎?

",[]
Gossiping,[問卦] 地球越來越熱，要再幾年就不能住人？= =,cycutom (cycutom真的不出門的那漳),Mon Jul 10 15:39:13 2023,"

地球越來越熱，要再幾年就不能住人？= =

歷史的數據也顯示 每年都越來越熱

感覺再這樣熱下去


根本不可能住人


普丁還有那個美國時間在打仗 根本白痴


地球還剩幾集能逃？ 喔 不是


地方球還剩幾年到底不能住人的溫度啊？= =


",[]
