看板,標題,作者,發文時間,內容,留言
Gossiping,[協尋] 父親在大禮大同失蹤,louis82828,Mon Jul 10 13:39:03 2023,"        更新：父親遺體已於下午尋獲，父親在他最愛的山中走了。因為處理後事跟整理情
緒的關心較晚回覆，非常抱歉，在此統一謝謝大家的關心跟建議。

","['幫加加', '獨自？', '第一張還以為來亂的', '高調', '奇萊山失蹤？找搜救隊搜尋，祝早日歸', '高調', '看錯，看圖以為奇萊山', '沒水沒電的部落.. 會有收訊嗎', '吉少', '幫', '幫推', '高調', '推', '高調', '幫高調', '推', '推', '要放鞭炮', '高調', '高調', '希望早日找到', '希望平安', '祝平安', '警察先生，就是這個人', '高調', '高調', '推', '高調，為什麼又獨自去登山', '無間道', '推', '高調', '高調', '祝平安', '高調', '= =', '高調', '大禮 大同 有設風光供電基地台上新聞', '高調', '轉山友社團會不會有比較多資訊', '大同大禮相對安全很多，但高調', '高調', '高調 早日平安回家', '高調', '高調', '祝平安，早日找到你的父親。', '祝平安', '高調', '平安回家！', '平安', '花錢請跑山獸找，他很有經驗', '樓上說的是', '早日平安', '看到新聞了，節哀', '找到不用澄清一下嗎', '在處理後事中，很抱歉現在才有時間看', '手機', '差別只在於我可能比較有感和醒覺而已', '節哀 雖然結果不好 事情暫告段落 希望', '你能好好休息', 'QQ', 'R.I.P.']"
Gossiping,[問卦] 白飯大戰目前看來是誰贏？？？,gn505250 (dwas356916),Mon Jul 10 23:50:40 2023,"
白飯大戰始於一群學生沒有吃飽，
集體上網刷店家ㄧ星負評，
店家也不甘示弱找來媒體反嗆學生免費不是吃到飽，
接著系主任出面，學生和老闆當面握手言和，
現在學生又跳出來說是被逼著道歉的，
店家也出面說可以跟學生當面解釋清楚，
事件發展到現在，
目前看起來是誰贏呢？
有沒有八卦呢？

","['後續的白飯贏了 沒有被拿出來吃掉', '八卦認為學生', '被白飯蓋過風頭的人事物贏了', '三輸吧', '不知道欸 等新進展再配飯吃', '全輸', '學校老師很可恥', '賴導', '癥結點只在於剛沒飯的時候 老闆有沒有說', '鼎王', '公關公司贏', '學生最慘吧 花錢餓肚子 評論又被公審', '要不要去做 願不願意等這點而已吧', '等公投吧', 'Dpp', '店家吧，學生粉專完全被轟到面目全非', '綠畜 性騷案 職業學生 直接蓋過去', '雙輸啦，歹戲拖棚', '鼎王吧 突然有人免費工商', '這麼無聊的話題是他媽要吵幾篇', '學生不是現在很多人挺嗎？怎麼輸？', '學生最慘，應該後悔一時意氣用事', '賴導跟東海職業學生', '柯屁啊 柯屁怎樣都贏', '老闆聰明就再請學生吃一頓吧', '賴清德吧', '問就是柯文哲', '鼎王', '老闆贏 大眾方面是一面倒罵學生的', '賴導', 'ㄌㄨㄚˋ', '學校最虧', '鼎王或成最大贏家', '店家-飯不夠，學校-壓人道歉，學生', '學生只能躲在系主任後面，是要怎麼輸贏，2', '-過度負評，每個都有各自的支持者', '7個，有幾個出來具名喊話的？', '不懂為啥都在罵學生支持老闆 真奴欸', '今天問一堆長輩全部都是罵學生XDD', '老師倒楣 永遠輸家', 'ㄌㄨㄚ、成最大贏家', '飯飯最終贏家', '黑范贏了被白飯救援', '黨國餘孽 18% 老師 公務員扛嗎', '老闆贏阿 這還要問喔', '為了爭一口白飯 搞成這樣 都輸啦', '連低卡都是店家支持者比較多', '黑范 狗官 喜迎阿陸市場 如今 慘', '哥布林贏啊', '北科吃白飯 想當大谷喔', '米國大學生 吃白飯 還是喝酒阿', '很明顯是安全下庄的lie功德贏了', '全台熱炒店吧  可能很多人看完新聞就去吃', '現實認識的柯粉都超愛吃白飯', '熱炒了(?)', '老闆啊 名氣大漲', '賴導贏了 都沒人討論了', '鼎王   賺了一波    工商', '功德米 送給 國立大學吧', 'https://i.imgur.com/aIWtOz1.png', 'https://i.imgur.com/5B1ImgA.jpg', '東海大學  沒人鳥會長演技太差', '賴導', '白米夯 農米 吳音寧 沒出來蹭啊', '媒體帶風向到老闆那去囉，餐廳洗了一', '堆沒去消費也在那五星評價，整體評分', '哥布林獲勝', '反而起來了，呵呵', '黑人贏了', '店家吧 店家敢讓人公評 心臟也要大顆', '不然這年頭風向一不對 可能連店都得關', '了', '最慘會是系主任', '賴導', '喝酒 白米飯 年紀大了 還在幹飯嗎', '媒體贏 爽賺一堆流量', '這樣的場所 大學生幹飯 大麻怎麼辦', '很重要嗎', '誰去找媒體的 你就懂了', '應該是柯p吧 柯p在八卦版總能贏的', '芭柚番，新鮮生果汁。', '只剩下芝麻小事 能嗨了 不然類', '登革熱 天坑 還是傻 奧利給阿', 'https://i.imgur.com/tLHcofF.jpg', '八卦一定翻車', '白飯事件是賴清德贏了', 'https://i.imgur.com/lt6Y2kB.jpg', '真的是鼎王XD', '三輸啊 店家臭 學校臭 學生最臭', 'metoo 白人 yesyes 贏了', '雜糧基金會贏了', '鼎王贏', '店家贏，出了八卦版一面倒', '神開示了', '當然是飯桶贏了，老闆不會強制飯桶開工，', '飯桶感到開心', '白飯啊', '鼎王笑死', '等看哪個店家靠這波行銷 白飯隨便吃', '一群腦x網友，沒發現是賴皇為了掩蓋他', '的蠢事拿北科吃飯當煙霧彈嗎？', '賴神', '說實話是賴SET啊，塔綠哥布林成功洗下去', '，被踩爛不過成功停損', 'https://i.imgur.com/YoOqUt1.jpg', '賴er', '公關公司火力展示一日帶風向贏了', '如果要帶3個月的風向請見報價單', '八卦輸', '党阿 沒看到党側翼媒體蟑螂粉專跟大議員', '都出來打不跪舔党 支持柯的學生族群了？', '學生都出來爆說系主任強逼學生去道歉了', '敢嗆說白飯吃到飽的店家就不要怕人吃啦', '學生粉專目前被噴很慘', '鼎王XD', 'https://i.imgur.com/6SQ90DJ.png', 'https://i.imgur.com/aIWtOz1.png', 'https://i.imgur.com/65olAmP.jpg', '想被蓋掉新聞的贏了 其他都輸', '網軍是最大贏家', '系主任獲勝 安全下莊不用被學校靠北', '哥布林', '學校老師可恥', '學生這種操作怎麼贏 八又翻', '塔綠啊 把對他們不利的都洗下去了', '六扇門', '賴導', '巧合賴贏', '第一屆白飯革命開始', '新聞記者啊', '白飯默默不語', '系主任最慘', '賴導', '賴清德跟陳明文贏了', '看了老闆說法 以及學生提供證據 只能說', ' 平手吧 不過學生要反攻了', '媒體']"
Gossiping,[問卦] 拍賣發貨地寫桃園的是不是都淘寶貨,AhGai (我有收錢我沒放水),Mon Jul 10 23:51:54 2023,"雅虎拍賣 露天拍賣 蝦皮拍賣

上面充斥各種等你下單再從淘寶下單的無本店家

大家都怎麼辨別這類商家呢


是不是看他發貨地寫桃園的 幾乎就可以斷定是淘寶了

因為從機場發貨給你



大家還有什麼方法 來避開這些淘寶劣質貨呢


有沒有八卦

","['你是要不買大陸貨還是不買無本店家', '？', '你買別家也是批淘寶給你XD', '運到商家再運給你有比較好嗎', '直接去淘寶買阿 運費也沒多貴', '不是單一賣特定類型品項的八成都淘寶', '問賣家有沒有現貨啊']"
Gossiping,[新聞] 女兒打翻果汁不清 醫沒收手機反挨妻子告,sixpoint (　ﾟдﾟ)ノ☆( #)д`),Mon Jul 10 23:52:04 2023,"女兒打翻果汁不清　醫沒收手機反挨妻子告

記者 蘇珮語 / 攝影 吳居諴 報導
發佈時間：2023/07/09 20:02
最後更新時間：2023/07/09 20:02
https://youtu.be/3zZm3lKQL3o

處罰兒女該怎麼拿捏？日前一名知名婦幼醫院的院長，因為女兒把果汁翻倒在沙發都不清理
，甚至跟孩子講道理時，也不肯理會，氣得沒收手機，但這個舉動引起妻子不滿，提告侵占
，檢方認為，屬於合法管教範圍，因此不起訴。

記者vs.其他家長：「小朋友把果汁翻倒在沙發上，你會怎麼處理，自己拿抹布把它擦乾淨
啊，他如果不要呢，他如果不要有零用錢就扣零用錢，可以罰寫就罰寫，如果可以罰站就罰
站啊之類的。」

如果小孩子不服管教怎麼辦，家長們說出心聲，其中還有比較理性的媽媽。

記者vs.其他家長：「我會請他去拿抹布把他擦乾淨，十歲應該可以，那他如果不要呢，那
一個沙發可能就是，有一陣子就是他自己使用，讓他感受一下那個感覺。」

怎麼勸都勸不聽的話，讓爸爸媽媽好無奈，處罰這條線該怎麼拿捏，沒想到卻有婦幼醫院名
醫，因為處罰小孩挨告。

記者蘇珮語：「知名婦幼診所的院長，日前因為孩子不聽話，因此沒收了她的手機，沒想到
這個行為竟然被自己的妻子，提告侵占罪，檢察官認為這是父母行使懲戒權，因此將他不起
訴。」

去年九月，這名名醫的十歲女兒，因為把果汁打翻在皮製沙發上，他要求清理乾淨，女兒卻
不理不睬，怕沙發壞掉只好自行擦拭，只是想講觀念時，仍然不肯聽爸爸說話，楊姓名醫因
此沒收手機，卻遭妻子提告。

其他家長：「雙親對親子教養中沒有取得一個共識，一個可能過分溺愛，然後父親可能覺得
這樣教導是不對的。」

名醫的妻子因為事發不在場，認為丈夫有不法意圖因此提告，檢察官事後採信醫師說詞，並
強調父母有教養權利，沒收手機是在合理範圍懲戒子女，沒有逾越比例原則，儘管妻子提再
議，高檢署仍駁回最後不起訴確定，夫妻兩人平常各自帶小孩，教養觀念不同，這回差點鬧
上法院，對此楊姓名醫截稿前沒有回應，不過懲戒子女這條界線在哪，也再度引發討論。

https://news.tvbs.com.tw/life/2174440

———

建議還是去驗一下DNA看看這女兒是不是自己的

然後早早離婚比較好

","[':那開始討論吧', ':......', ':OK 可以說的說完了', ':感謝scvb精闢解析', '台女', '醫師娘', '醫生怎麼會娶智障台女', '……', '娶台女老婆下場！慎思！還是越南茶好', '=.=484不想當醫生娘了', '離婚還要分財產，虧大了', '真的可憐 賺錢給花還要被告', '不要放出來害人', '好強勢', '這是夫妻嗎 是怨偶吧', '台女智商不意外', '離了吧 這女人有病', '有沒有不起訴書可以看', '女兒好屁孩', '這算哪們子夫妻？', '這台女應該很正吧？除此之外想不到醫', '生會娶的點', '這女的有病吧', '該不會藏媽媽的秘密吧', '可以休妻了', '早就想離了吧', '這女人真可怕…', '提告個屁 什麼爛女人', '法律上就是可以窮，但不能打不能罵', '醫師虧大了', '沒救了 這老母怎麼教的', '白癡女人', '不小心娶到', '這家人是怎樣 ....', '未來的台灣', '難怪女兒也不教不動', '沒趕母女出門就不錯了', '\u3000\u3000嬯女日常．．． \u3000台男悲歌\u3000ＱＱ～～', '可以一起趕出門了 洗基因失敗', '更:多打不', '醫生老婆的故意提告，想離婚找理由製造衝', '突', '台女從小培養呵呵', '問就是離婚', '娶到台女 一生不幸', '錢的問題', '哈哈 活該可悲台男多娶多生一點', '娶到這種慘了 離婚後還是斷不乾淨', '有這種媽媽難怪女兒管不動', '這種怪獸媽媽只會養出巨嬰吧', '會因為女兒教養問題衝突 而且女兒可能被媽', '蝦  提告?', '媽洗腦', '老婆小孩都可以丟了 沒救', '如果是我爸，棍子就下來了，講什麼', '這種平常就已經吵到要離婚啦', '是要告什麼 告訴老師嗎', '真是孽緣，連小孩都不能教XD', '打翻飲料不是重點吧 八成夫妻關係有問題', '這老婆有毒？經過這事孩子沒法管了。', '不要笑 台女真的一堆這種的', '台女可憐', '醫師娘想離婚找不到藉口分錢 出此下策', '離了啦~取這個幹嘛', '這是之前日劇的劇本吧？小孩是小王的，媽', '媽早就帶著小孩跟親爸爸打點好了，背地裡', '說了這醫生不少壞話，所以小孩對這便宜爸', '哈哈哈哈哈，可憐哪', '爸沒半點好感。日本好像稱呼這叫杜鵑婚？', '看來管不動的原因找到了', '台女不意外！自己不管小孩，還不准', '人家管？', '醫生娘…', '哪來的不法所有意圖 還提再議，浪費司', '法資源', '這家人玩好大', '為什麼這種人可以有錢？應該要被達爾', '文啊', '結果娶到這種腦子....而且居然沒離婚啊?', '可憐 當老背這麼沒尊嚴 離一離多好', '遇到白痴，浪費資源', '真的不用急著幾歲結婚 娶...找自己麻煩', '可憐', '分一分比較實際', '這女的腦子沒問題吧', '跟女人交配生孩子到被告 真棒：）', '少子化 恐龍家長越來越多', '笑死 一定很正', '台女今天表現又滿分了', '幹 以後別幫她簽聯絡簿', '娶這三小老婆，靠', '完了！巴逼Ｑ了！台女養成班進行中～', '被媽媽寵壞了，10歲了怎麼教都不會改了', '台灣母 世界第一', '台女', '沒救了', '夫妻管教子女搞到上法院是什麼奇特家庭 ?', '這個應該早就沒有感情了吧', '小秘密都在手機裡', '溺愛不可取啊', '怎麼有這種老婆', '這...公主養成？', '可悲', '父母都有病', '驗DNA  準備離婚吧 老婆女兒是一掛', '準備討債的', '可悲', '這種家庭可悲，離一離吧', '可以離婚了！DHA最好順便驗一下…', '媽媽比女兒還幼稚....這醫生好慘', '會跟小孩說另一半壞話好可怕 突然想', '到我家也一個 小時候不懂還傻傻相信', '女兒該不會不是這醫生的吧？', '台女不意外', '媽媽的綠色秘密是不是在女兒手機裡', '這我一定離婚', '娶這個老婆沒救了，還提告', '最好檢查一下手機內容了', '濫訴 為啥這樣可以不用訴訟費', '這樣不離婚？', '果然是親生的', 'DHA驗一夏吧', '在結婚啊哈哈', '有這種媽媽，難怪小孩不受教', '濫訴...', '這種智障妻子，分一分吧', '合理推論媽媽有秘密在女兒手機裡', '醫生帽子有可能是綠色的', '塔綠班寵出來的台女不意外', '驗看看吧，說不定會有驚喜', '那老婆想逼離婚分醫生的錢吧']"
Gossiping,[問卦] 有沒有漢堡王越來越貴的八卦??,ARREYU (黑人觀察家),Mon Jul 10 23:52:45 2023,"大家好, 阿肥我在非洲大陸啦

難得的周一下午時光, 剛好同事在揪團買漢堡王

就直接跟了一波了, 赫然發現華堡已經從4700奈拉漲到7000了(台幣280左右)

最後只買了6個小雞翅當點心, 大概台幣150台幣

吃完感覺本肥有點盤 @@


以上, 有沒有漢堡王一直漲價的八卦阿??


https://imgur.com/KFHNxAB
https://imgur.com/j0hs8St
https://imgur.com/EFlHTlf
※ 八卦板務請到 GossipPicket 檢舉板實名詢問
※ a.張貼問卦請注意，充實文章內容、是否有專板，本板並非萬能問板。
※ b.一天只能張貼 ""三則"" 問卦，自刪及被刪也算三篇之內，
※   超貼者將被水桶，請注意!
※ c.本看板嚴格禁止政治問卦，發文問卦前請先仔細閱讀相關板規。
※ d.未滿30繁體中文字水桶1個月
※   未滿20繁體中文字水桶2個月
※   未滿10繁體中文字水桶3個月，嚴重者以鬧板論，請注意！
※ (↑看完提醒請刪除ctrl + y)

","['外商在非洲都很貴吧', '都說是漢堡『王』了！價格當然是頂天的', '你那邊居然有', '醬還少給幹', '慟 但是當地沒有麥當勞 @@ 只有肯德基', '那邊大部分台灣人一輩子都沒去過', '前年剛開的, 偶爾還是支持一下,希望別倒閉', '店越來越少更恐怖', '奈及利亞貨幣', '非洲可以吃野生動物的肉 吃漢堡幹嘛?']"
Gossiping,[問卦] 為何房貸補貼3萬只補助買得起房的?,leondemon (狗狗),Mon Jul 10 23:52:59 2023,"想問一下居住正義的事情

最近核發房貸補貼3萬給有房貸的人，那些買不起房的人反而沒錢可領，

想請問這個正義的邏輯是？

=============================================================================
申請人必須是辦理房貸的借款人，而且跟配偶和未成年子女都要符合下列資格，
就可以申請3萬元房貸補貼：
1、只有一筆自住用的住宅貸款，而且貸款餘額沒有呆帳。
2、同戶家庭成員名下合計只能有1間房。
3、最初核貸金額為台北市850萬元以下（總價約1200萬元）、其他縣市700萬以下（總價約1000萬元）的房屋。
4、2021年同戶家庭成員各類所得總額在120萬元以內。
5、今年2月28日以前買房的人。
=============================================================================


","['何止輔助買得起的 還排貧 白痴條件', '不跟著炒被教訓了吼', '誆名目發錢', '幹你娘看不懂', '民進黨', '我都沒買房還要幫人繳房貸，馬的垃圾', '政府', '為什麼不補貼連頭期款都沒有的人？', '有租房補助啊只是申請完房東不是把你趕走', '就是漲租 嘻嘻', '接下來要幫人繳學貸囉 cc', '側翼說買不起是你不努力', '推', '補助幫忙拉房價的人很好呀', 'https://youtu.be/VQYYfdm4ULU', '不用當防疫英雄也能領3萬，有什麼不滿？', '政策是用來買票 不是用來解決問題的', '不然你要讓中共統治?', '看不起你啊超爽der', '誰理你們', '就政策買票一些民眾,主要固樁公教人員', '破麻賴清德劫貧濟富大成功', '爽，誰叫你窮窮就該打', '買房貸款才是對社會有貢獻', '補助3萬能幹嗎? 一直撒錢耶', 'https://i.imgur.com/MB2JEuh.jpg', '就跟你投給綠共的邏輯一樣', '厲害了我的黨', '這政策真的有夠白癡', '乾我闢事 繳多少', '甩尾母豬：2024年不關我的事了！', '其實這政策條件很奇葩，限制貸款金額', '又限制收入，收入不高不低的自備不夠', '多貸款會超標，收入少的就不用想了，', '最後只補助到靠爸媽買房的', '關你什麼事啊 ：）', '2024以後又不關蔡英文的事', '跟著黨發大財', '買不起租啊！黨都給優惠租了 783小', '實際在補貼建商/銀行啊', '民進黨阿', '就把低總價再拉高 買不起的只會更慘', '因為後面有財團/建商']"
Gossiping,[問卦] 台中是不是佛心餐廳都在大學週邊,kk10519 (星辰),Mon Jul 10 23:53:32 2023,"早期興大 聞香 清一色牛肉麵
牛肉麵續湯續麵無限量供應
只要不要浪費吃到你吃不下為止
還有珍奶 冰淇淋 泡菜 吃到飽

早期鼎王 台中版根本是揪團賣鍋底
還記得明明四個朋友還要分兩桌
多帶一份湯底做法厲害吧！
同儕還加入鼎王打工行列 保證有位置

早期一中街 自助餐 快炒王 大排檔
份量多到你會疑惑人生
自助餐還有白飯肉汁無限供應
還記得當時肉$8 菜$5 三菜一肉 白飯吃3碗

時代過去了！物價通膨
老闆們當然要改規則才能存活
要不然只能關門休息

","['早期是康寶暴發前還是後', '衛爾康 為分水嶺吧！', '東海 逢甲 都有飯菜裝到爆的便當店', '多早期? 20年前 逢甲便當街35腿排飯內用', '白飯 飲料 湯 通通隨你吃 還有甜湯', '大排檔那個飯你吃的下去==', '你幾歲= =+', '中大附近的麵都吃到飽', '啊學生幾乎都走路 當然開在附近啊', '台中現在有好吃的嗎？好餓喔', '最威的是中興素食晚餐 50元吃到飽吧', '興大那個加麵跟份量很大的便當真的很', '有印象', '大學生本來就吃粗飽的', '廚餘', '很多縣市的學區都是吧', '文中的店家調漲後 比其他家還是便宜', '現在還開的就全台的築間吧 開到04:00']"
Gossiping,[問卦] 急！快炒店沒有飯，跟老闆吵起來,SoFanCy (fancy),Mon Jul 10 23:54:43 2023,"如題

小弟在熱炒店吃飯，因為熱炒店太好吃了，所以小弟白飯配比較多

剛想要續白飯沒想到沒了，跟服務生反應結果老闆出來跟我說

老闆：先生不好意思，依您的消費255元只能吃1.5碗喔

我聽了怒斥，我又不是1.5博為什麼只能吃1.5碗

說著我拿起手機，給老闆刷了一星好評

老闆氣到叫我二百五，消費255多了5元還是二百五，只能吃1.5碗

我聽了更氣拿起桌上的酒瓶想要打下去

我女友Rita見狀抓著我的手，我氣才消了

現在有點僵持不下

請問單兵該如何處置

","['1.2碗喇 沒跟上 = =', '直接吃飯鍋', '你慢了', '古拉文都比你這篇有趣', 'https://i.imgur.com/tLHcofF.jpg', '幹爆這老闆啊 還要人教', 'rita是哪來的新角色', '等下記者公審，老師逼你道歉', '4在大聲什麼辣', '先給1星好評', '未看先猜大概只有5566會咬餌', '你要被公審了8888', '你沒有女朋友', '因為泥不是官啊', '官都招待這招待那的', '怎麼不替老闆著想，趕快去買米啊', '記得給五星再發表意見', '綠共黨開始洗風向 你要被批鬥了', '你要上新聞了嗎', '寫太爛了，加油', '點炒飯不會']"
Gossiping,Re: [問卦] 能稱上最好吃的白飯是哪一間？,HAHAHUNG (哭阿),Mon Jul 10 23:54:50 2023,"※ 引述 《leonjapan》 之銘言：
: 肥仔我平常和飯桶朋友都是最愛好吃白飯的，全身大概87%都是碳水化合物組成，一次進
店
: 至少都可以吃上10來碗公
: 就問能稱得上全台最好吃的白飯是哪一間店啊？
: 可以讓肥仔我們吃到爽好吃到流眼淚
: 有的話為什麼有沒有卦？

在臺灣吃過最好吃的白飯

是在北投加賀屋的早餐

想說日本人早上吃白飯所以盛了一晚

驚為天人，怎麼能這麼好吃

連去日本旅遊都沒吃過這麼好吃的白飯

更不用說國旅的其他飯店

加賀屋就是No.1

你ㄘㄘ看

","['北投No.1', 'Kura Sushi、Hama Sushi的醋飯！', '國軍啦', '你家的飯桶']"
Gossiping,[新聞] 「根本沒有要蓋」柯文哲指基捷是騙局 揭,roder (尊重 q(￣︶￣)p 包容),Mon Jul 10 23:56:51 2023,"「根本沒有要蓋」柯文哲指基捷是騙局 揭和綠營關係生變導火線
https://udn.com/news/story/6656/7291301

聯合報／記者歐陽良盈

民眾黨總統參選人柯文哲今晚9點接受台北市議員李明賢網路節目專訪，指基隆捷運是騙
局，「是我太認真了，根本沒有要蓋」，蔡總統宣布的政策，但她的政務官都不背書，隔
了4年什麼都沒有，大家也神態自若當沒事，好像全台灣人民都失憶症了。

柯文哲說過去自稱是「墨綠」，還曾購買阿扁金幣，後來前總統陳水扁被爆海外藏錢，覺
得尷尬、雞嘴變鴨嘴。坦言和民進黨關係生變的導火線是前瞻計畫，他很清楚八堵到基隆
那一段沒辦法蓋，因為路兩邊都是房子，他曾直言「基隆輕軌沒有基隆」還被回「太陽餅
也沒有太陽」，真是詭辯。

柯文哲指出，蔡英文總統2017年3月曾說基捷是基隆30年來最大建設，6年了卻什麼都沒有
，跳票了，基隆捷運從頭到尾都在騙，是他太認真了，人家又沒有真的要蓋。

主持人問蔡英文總統執政7年多，哪些地方柯覺得做得好、做不好。柯文哲說想不出什麼
好的，但蔡政府失去人民的信任，像司法改革當時信誓旦旦說要做卻也沒做，蔡總統本次
任期沒有連任壓力，可以大刀闊斧地做，但也沒有。

柯文哲說，民進黨太過粉飾太平，公宅有蓋就有蓋，沒蓋就沒蓋，何必老是說規畫中之類
的，去搞那些數字。蔡總統520說要讓世界看到台灣，柯文哲說，台灣處於美中對抗的第
一島鏈才被看，「台灣會被看見不是蔡英文的功勞，是因為美中對抗的關係。」


柯P太誠實, 又又又施鹽啦

","['基八段', '夢裡相見', '誠實', '沒有基隆站的基八捷運', '北海肥旗王右昌還不是爽選兩屆', '濕鹽了濕鹽了，明天馬上就鹽液', 'https://youtu.be/VQYYfdm4ULU', '重要嗎 智障綠畜繼續關心北流租場地問題', '問最頂的內政部長有要蓋嗎？', '是啊 大巨蛋也不是弊案 不是嗎???', '塔綠班正在拜中國鬼 沒空', '但更確定是他都沒有想蓋，東環也是林副推', '大巨蛋有人被判刑，而且現在的樣子，跟', '一開始差很多', '太誠實', 'https://i.imgur.com/INgQ97U.jpg', '基隆人有何看法', '所以民進黨在基隆落選啦', '這是兩個星期前的新聞吧？', '基隆在地人都很清楚啦', '請正名為汐止捷運', '那超越新加坡是願望還是作夢', '但呆丸郎只愛蔡這種 柯洗洗睡吧 呆丸沒救了', 'https://i.imgur.com/QhLOOKZ.png', '又不是光電板才有轉頭，叫什麼叫', '可能國際觀兩岸論述跟發言比這些重要?', '政策轉彎根本政客日常 以前不要核4 現在真', '香', '我也想看8年後誰有辦法生出來 不要說1個', '半個就好', '笑死 基隆市八堵區不算基隆？', '連動土都沒還說要蓋', '=== 隔了4年什麼都沒有，大家還裝沒事 =', '=== 塔綠班擅長的項目又多了一個 ===', '基隆輕軌蓋到哪啦? 好幾年啦', '本來就是騙票', '民進黨到處騙 然後不作為', '內政部長出來玩', '永遠的規劃中就可以當蓋好', '中懇', '還是柯最棒 什麼都不想蓋 只想蓋大巨蛋', '基隆才30萬人有鐵路跟國道還不爽殺小，', '都給我騎山豬進城好嗎', '可惜八年過去 也還沒蓋好 都怪藍綠惡鬥', '賴又翻', '@ctct0513 環南市場改建不算？', '社會住宅也不算？', '沒錢只能跳票 小英還是有話說太滿的選舉', '語言症候群', '北流 北藝也不算？', '社會住宅喊50萬，連20萬都蓋不出來', '都在規劃中了還說沒有在蓋', '真的太誠實了', '誠實', '塔綠班：党有規劃就相當於蓋好了 党就是', '真理', '推', '現在的民主進步黨有民主跟進步嗎 沒有嘛', '所以不要計較名詞 重點是內容阿 人家就是', '想要一篇漂亮的演講稿騙騙點擊而已', '智障 35%死忠綠畜:有規劃了是要怎樣', '可以滑坡到整個基捷都不蓋也太無恥', 'push~', '這麼重大的建設 規劃個30年編預算 不', '過分吧', 'https://i.imgur.com/GB335QT.jpg', '推', '推', '推', '基隆人口比中和，板橋一個區還少，鐵路就很', '夠了', '抗中保台！抗中保台！', '垃圾請自行處理', '詐騙國家隊', '推', '打從一開始就沒打算蓋 預算還是編下去了', '真好賺', '推', '藍綠一樣爛', '哈', 'https://i.imgur.com/HHDLDXD.jpg', '８年了動工沒～連個屁都沒看到', '小英跳票的政策很多，她不差這一個', '基隆慘']"
