Board Name,Popularity
Gossiping,16016
Stock,6133
C_Chat,5249
Baseball,4645
NBA,3420
KoreaStar,2168
Lifeismoney,1271
HatePolitics,1255
car,1037
home-sale,889
movie,886
basketballTW,787
LoL,638
Beauty,574
Tech_Job,546
PC_Shopping,541
Military,536
creditcard,473
BabyMother,455
Japan_Travel,432
MobileComm,427
sex,426
DIABLO,419
WomenTalk,387
Boy-Girl,326
joke,320
miHoYo,261
NSwitch,261
BaseballXXXX,259
KoreaDrama,253
Steam,253
Bank_Service,249
AllTogether,244
TaichungBun,237
japanavgirls,235
marriage,223
PlayStation,223
CFantasy,222
Tainan,218
marvel,217
Kaohsiung,208
Lions,198
Elephants,193
Lakers,192
Japandrama,186
Marginalman,184
FORMULA1,177
e-shopping,172
iOS,161
KR_Entertain,160
China-Drama,151
Golden-Award,143
CVS,138
HardwareSale,136
biker,128
watch,122
Drama-Ticket,118
BeautySalon,112
MuscleBeach,111
SportLottery,110
AC_In,110
EAseries,108
CarShop,107
ToS,107
MakeUp,106
Hsinchu,105
PuzzleDragon,96
Tennis,95
MLB,93
PublicServan,92
Gamesale,89
studyteacher,89
Soft_Job,87
Salary,86
Broad_Band,85
Hip-Hop,81
mobilesales,75
TaiwanDrama,75
Railway,74
MacShop,70
BabyProducts,68
YuanChuang,68
Guardians,68
fastfood,66
DigiCurrency,65
DC_SALE,63
Headphone,61
PokemonGO,61
E-appliance,60
Gov_owned,60
nb-shopping,59
ONE_PIECE,59
TW_Entertain,59
give,56
StupidClown,55
Option,52
DSLR,51
cat,51
FAPL,51
Brand,50
SuperBike,49
Food,49
FATE_GO,48
KoreanPop,48
Key_Mou_Pad,48
e-coupon,48
FITNESS,48
SakaTalk,47
Aviation,47
Monkeys,47
Badminton,47
Wanted,44
YUGIOH,44
job,44
bicycle,43
XBOX,42
Taoyuan,42
part-time,42
MobilePay,41
WOW,41
cookclub,41
BlueArchive,40
Examination,40
Audiophile,39
G-S-WARRIORS,39
Digitalhome,39
TWICE,39
MAC,38
