看板名稱,熱門指數
Gossiping,12834
Stock,3984
C_Chat,3905
Baseball,2272
NBA,2048
HatePolitics,1108
Lifeismoney,1023
basketballTW,861
home-sale,721
car,713
KoreaStar,633
LoL,609
PC_Shopping,565
sex,542
movie,523
BabyMother,511
Beauty,457
MobileComm,457
Military,436
Japan_Travel,404
creditcard,357
DIABLO,354
Boy-Girl,350
Tech_Job,344
NSwitch,278
marriage,251
Steam,251
WomenTalk,234
marvel,216
Kaohsiung,215
Tainan,200
AllTogether,197
joke,190
KoreaDrama,187
iOS,179
japanavgirls,176
TaichungBun,175
HardwareSale,172
miHoYo,157
BaseballXXXX,151
e-shopping,150
Japandrama,150
PlayStation,142
Marginalman,142
SportLottery,141
CFantasy,139
Bank_Service,133
CVS,124
Drama-Ticket,120
Gamesale,116
biker,115
China-Drama,105
Tennis,101
Elephants,99
watch,96
AC_In,93
BeautySalon,93
EAseries,92
MakeUp,90
KR_Entertain,89
Lions,89
studyteacher,88
CarShop,84
MacShop,83
MuscleBeach,81
mobilesales,77
Headphone,77
Lakers,76
Hsinchu,72
BlueArchive,71
Soft_Job,68
cat,67
SuperBike,67
PuzzleDragon,66
BabyProducts,65
MLB,65
Brand,63
Salary,62
DSLR,61
give,60
Broad_Band,57
Badminton,55
Food,55
ONE_PIECE,53
nb-shopping,52
E-appliance,52
fastfood,52
Guardians,52
ToS,51
Aviation,51
DigiCurrency,51
StupidClown,51
YuanChuang,50
PublicServan,50
Wanted,48
MobilePay,47
PokemonGO,47
DC_SALE,46
FORMULA1,46
Gov_owned,45
Digitalhome,45
TW_Entertain,45
SakaTalk,44
Key_Mou_Pad,44
HelpBuy,43
TY_Research,42
WOW,42
Palmar_Drama,42
gay,41
Hiking,40
ChangHua,40
XBOX,38
bicycle,38
TaiwanDrama,38
Teacher,37
hypermall,37
DMM_GAMES,37
Hip-Hop,36
FATE_GO,35
facelift,35
FAPL,34
part-time,34
FITNESS,34
MRT,32
Storage_Zone,31
Road_Running,31
G-S-WARRIORS,31
Insurance,31
